,zpid,latlon,street,zipcode,city,state,bedrooms,bathrooms,finishedSqFt,yearBuilt,price,rent,tax.year,tax,hoa,lat,lon
2552,15154314,"[""37.724197"",""-122.394321""]",5945 3RD St,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3187,1987,719000,4400,NA,577000,500,37.724197,-122.394321
2553,15154316,"[""37.724195"",""-122.39433""]",5945 3RD St,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,1761,1987,719000,4200,NA,270305,500,37.724195,-122.39433
2554,15154317,"[""37.724195"",""-122.39433""]",5945 3RD St,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,2058,1987,719000,4250,NA,302012,500,37.724195,-122.39433
2555,15154318,"[""37.724195"",""-122.39433""]",5945 3rd St,94124,San Francisco,CA,UNKNOWN,UNKNOWN,2365,1987,719000,4200,NA,325794,500,37.724195,-122.39433
2556,15154525,"[""37.721825"",""-122.395525""]",6233 3rd St,94124,San Francisco,CA,2,1,700,1907,719000,3600,NA,195078,500,37.721825,-122.395525
2557,15154526,"[""37.721886"",""-122.395485""]",6227 3rd St,94124,San Francisco,CA,UNKNOWN,1,1135,1900,719000,3950,NA,382388,500,37.721886,-122.395485
2558,15155083,"[""37.718948"",""-122.396921""]",6523 3rd St,94124,San Francisco,CA,3,3,1556,1988,719000,4200,NA,288857,500,37.718948,-122.396921
2559,15155084,"[""37.718998"",""-122.396876""]",6515 3rd St,94124,San Francisco,CA,3,3,1556,1988,719000,4200,NA,282826,500,37.718998,-122.396876
2560,15155085,"[""37.719048"",""-122.396831""]",6511 3rd St,94124,San Francisco,CA,3,3,1556,1988,719000,4350,NA,420516,500,37.719048,-122.396831
2561,15155086,"[""37.719099"",""-122.396786""]",6505 3rd St,94124,San Francisco,CA,3,3,1556,1988,719000,4200,NA,268362,500,37.719099,-122.396786
2562,15155128,"[""37.718213"",""-122.397605""]",6645 3rd St,94124,San Francisco,CA,3,2,1550,1986,719000,3995,NA,226254,500,37.718213,-122.397605
2563,15155129,"[""37.71838"",""-122.397454""]",6619 3rd St,94124,San Francisco,CA,UNKNOWN,1,1205,1928,719000,3780,NA,568516,500,37.71838,-122.397454
2564,15155130,"[""37.718456"",""-122.397439""]",6615 3rd St,94124,San Francisco,CA,2,1,875,1952,719000,3540,NA,336247,500,37.718456,-122.397439
2565,15155131,"[""37.718562"",""-122.397343""]",6601 3rd St,94124,San Francisco,CA,UNKNOWN,1,875,1952,719000,3770,NA,582000,500,37.718562,-122.397343
2566,15155133,"[""37.718512"",""-122.397389""]",6609 3rd St,94124,San Francisco,CA,2,1,875,1952,719000,3500,NA,42242,500,37.718512,-122.397389
2567,15155789,"[""37.739976"",""-122.389228""]",4128-4130 3RD St,94124,SAN FRANCISCO,CA,UNKNOWN,2,2750,1900,719000,4000,NA,267269,500,37.739976,-122.389228
2568,15155944,"[""37.737648"",""-122.389389""]",4401 3rd St,94124,San Francisco,CA,UNKNOWN,3,NA,1924,719000,4000,NA,248522,500,37.737648,-122.389389
2569,15158307,"[""37.728637"",""-122.392471""]",5307 3rd St,94124,San Francisco,CA,UNKNOWN,1,810,1919,719000,3650,NA,60319,500,37.728637,-122.392471
2570,15158900,"[""37.730331"",""-122.392675""]",5222 3RD St,94124,SAN FRANCISCO,CA,UNKNOWN,2,1600,1945,719000,4200,NA,26124,500,37.730331,-122.392675
2571,15158901,"[""37.730264"",""-122.392694""]",5228 3RD St,94124,SAN FRANCISCO,CA,UNKNOWN,2,1600,1945,719000,4200,NA,25840,500,37.730264,-122.392694
2572,15158902,"[""37.730062"",""-122.392749""]",5244 3RD St,94124,SAN FRANCISCO,CA,UNKNOWN,1,2052,1909,719000,4200,NA,23844,500,37.730062,-122.392749
2573,15158903,"[""37.729996"",""-122.392769""]",5250 3RD St,94124,SAN FRANCISCO,CA,UNKNOWN,1,2052,1909,719000,4200,NA,23500,500,37.729996,-122.392769
